id,name,type,sector
hpr,Heinrich Prinz Reuß,1,Adel
fh,Frank Heppner,1,Wirtschaft
mf,Michael Fritsch,1,Polizei
me,Maximilian Eder,1,Militär
cw,Christian Wendler,1,Politik
rhl,Ruth Hildegard L.,1,Politik
rvp,Rüdiger von P.,1,Militär
pg,Paul G.,1,Justiz
mvh,Marco von H.,1,Militär
mr,Melanie R.,1,Medizin
pw,Peter Wörner,1,Militär
rr,Rene R.,1,Kultur
bmw,Birgit Malsack-Winkemann,1,Politik
KSK,KSK,2,Militär
AFD,AFD,2,Politik
am,Andreas M.,1,Militär
Polizei,Polizei,2,Polizei
Justiz,Justiz,2,Justiz
Bundestag,Bundestag,2,Politik
MA,militärischer Arm,2,Militär
Rat,Führungsstaab,2,Politik
